ID,NBQ,(g),(pa),ab,at,(a1),1s,2s,3s,4s,hr,bi,s1,s2,s3,s4,s5,r,z,k,f,t,p,fo,tg,pg,pi,a,GP,SO,CG,W,L,S,R,O,Z,K,(PA),AB,AT,OS,1S,2S,3S,4S,HR
101,Daniel Beals,1,4,4,3,,2,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Samuel Berkebile,1,3,3,1,,,1,,,,,1,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
105,Jack Chandler,1,4,4,4,,,3,1,,,4,,,1,,,2,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
106,Chuck Jones,1,4,4,3,1,2,,,,,1,,1,1,,,2,,,1,,,,,,,,1,,,,,,6,5,3,,19,19,17,15,8,5,,,
107,Daniel Jones,1,4,4,4,,1,2,,,,2,,,,,,2,,,1,,,,,,,2,1,,,,,,,6,5,,10,10,9,5,3,,1,,
108,Nick Palmer,1,4,3,3,,,1,1,,,,,,,,,1,,,,1,,,1,1,,,1,,,,,,2,3,,3,8,8,6,5,3,,,,
109,Tristan Rickert,1,4,4,2,1,,,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Tim Stouffer,1,4,4,2,,1,,,,,,1,1,1,,,1,,,1,1,1,,,,,,1,,,,,,,1,,,3,3,3,3,1,,2,,
112,Andrew Veeman,1,3,3,2,1,1,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
113,Olivia Veeman,1,3,3,2,,1,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
